MeanDNE.Apex,MedianDNE.Apex,IQRDNE.Apex,TotalDNE.TotalPolygonFaces,MedianDNE.Whole,IQRDNE.Whole ,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Proportion.DNEover0.6
0.019749 ,0.004763 ,0.013023 ,0.005891 ,0.002410 ,0.007612 ,0.012092 ,0.009558 ,0.007312 ,0.000496 
0.033347 ,0.006146 ,0.019181 ,0.006252 ,0.004163 ,0.011803 ,0.015930 ,0.015024 ,0.007134 ,0.000742 
0.024343 ,0.008214 ,0.022124 ,0.013529 ,0.005258 ,0.007140 ,0.013660 ,0.010862 ,0.008959 ,0.000247 
0.015239 ,0.002086 ,0.011582 ,0.007100 ,0.010567 ,0.005213 ,0.012868 ,0.009581 ,0.009721 ,0.001009 
0.023334 ,0.005390 ,0.015076 ,0.008151 ,0.004286 ,0.009494 ,0.014622 ,0.010692 ,0.006349 ,0.000689 
0.013509 ,0.004026 ,0.009539 ,0.012751 ,0.007416 ,0.013200 ,0.010956 ,0.010883 ,0.009168 ,0.000157 
0.019262 ,0.004725 ,0.016585 ,0.010276 ,0.005235 ,0.006966 ,0.015727 ,0.010968 ,0.007964 ,0.000435 
0.021691 ,0.003719 ,0.018226 ,0.011380 ,0.005595 ,0.009043 ,0.012565 ,0.011434 ,0.005258 ,0.001057 
0.019904 ,0.005170 ,0.014587 ,0.017543 ,0.002925 ,0.007770 ,0.017104 ,0.013745 ,0.005775 ,0.000565 
0.019895 ,0.002588 ,0.015013 ,0.009855 ,0.004263 ,0.009416 ,0.013965 ,0.011386 ,0.006678 ,0.000422 
0.023108 ,0.002738 ,0.016796 ,0.015370 ,0.006905 ,0.011022 ,0.015969 ,0.015813 ,0.006973 ,0.000976 
0.022265 ,0.002328 ,0.016217 ,0.012995 ,0.004463 ,0.008735 ,0.012886 ,0.010081 ,0.007623 ,0.000466 
0.020069 ,0.003047 ,0.014972 ,0.018234 ,0.005573 ,0.009929 ,0.013971 ,0.010027 ,0.006332 ,0.000367 
0.025203 ,0.003106 ,0.014981 ,0.010017 ,0.006488 ,0.010475 ,0.017258 ,0.017756 ,0.008929 ,0.001581 
0.026556 ,0.004206 ,0.016253 ,0.014180 ,0.007009 ,0.011728 ,0.014692 ,0.014176 ,0.008322 ,0.000775 
