MeanDNE.Apex,MedianDNE.Apex,IQRDNE.Apex,TotalDNE.TotalPolygonFaces,MedianDNE.Whole,IQRDNE.Whole ,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Proportion.DNEover0.6
0.026543 ,0.002388 ,0.013134 ,0.006357 ,0.002540 ,0.008330 ,0.012042 ,0.009767 ,0.007099 ,0.000445 
0.032757 ,0.006388 ,0.019157 ,0.005788 ,0.004405 ,0.012735 ,0.017907 ,0.014681 ,0.006896 ,0.000636 
0.024416 ,0.013215 ,0.013543 ,0.013267 ,0.005812 ,0.005773 ,0.013612 ,0.010701 ,0.008750 ,0.000143 
0.016831 ,0.000545 ,0.015131 ,0.006994 ,0.010600 ,0.004312 ,0.013615 ,0.010007 ,0.008123 ,0.001172 
0.022998 ,0.005249 ,0.015000 ,0.008394 ,0.003841 ,0.010331 ,0.013403 ,0.010559 ,0.006092 ,0.000842 
0.017351 ,0.008465 ,0.009769 ,0.012948 ,0.007683 ,0.011479 ,0.012609 ,0.010307 ,0.009397 ,0.000234 
0.019330 ,0.003459 ,0.017844 ,0.010064 ,0.005826 ,0.005285 ,0.016358 ,0.010789 ,0.007764 ,0.000483 
0.021216 ,0.003361 ,0.010351 ,0.011919 ,0.005029 ,0.006654 ,0.013847 ,0.010825 ,0.005442 ,0.000942 
0.020047 ,0.006173 ,0.014627 ,0.015342 ,0.002662 ,0.006452 ,0.017532 ,0.013740 ,0.006841 ,0.000475 
0.020118 ,0.004912 ,0.015126 ,0.009265 ,0.004359 ,0.010811 ,0.011774 ,0.011910 ,0.006852 ,0.000331 
0.023300 ,0.002243 ,0.016825 ,0.014799 ,0.007313 ,0.010064 ,0.016296 ,0.015170 ,0.006855 ,0.001235 
0.013875 ,0.001322 ,0.016318 ,0.012731 ,0.003989 ,0.013244 ,0.013508 ,0.010234 ,0.007314 ,0.000420 
0.020372 ,0.003914 ,0.014856 ,0.018027 ,0.005475 ,0.011819 ,0.013009 ,0.009632 ,0.006572 ,0.000491 
0.025460 ,0.005425 ,0.015271 ,0.007865 ,0.006218 ,0.010705 ,0.017886 ,0.017391 ,0.010234 ,0.001574 
0.025940 ,0.002484 ,0.013244 ,0.014717 ,0.006964 ,0.010993 ,0.015991 ,0.011324 ,0.008465 ,0.000927 
0.025458 ,0.003869 ,0.022344 ,0.014351 ,0.002129 ,0.020062 ,0.011996 ,0.021159 ,0.006061 ,0.001865 
0.021181 ,0.001604 ,0.014844 ,0.005262 ,0.003625 ,0.008971 ,0.015221 ,0.014917 ,0.008325 ,0.000887 
0.031153 ,0.005765 ,0.018804 ,0.020529 ,0.008831 ,0.020315 ,0.021455 ,0.017191 ,0.004212 ,0.001933 
0.025825 ,0.007921 ,0.016230 ,0.010324 ,0.008754 ,0.020315 ,0.018270 ,0.014868 ,0.004234 ,0.002564 
0.020668 ,0.001956 ,0.015353 ,0.007813 ,0.006158 ,0.018115 ,0.016407 ,0.013008 ,0.010169 ,0.001222 
0.024319 ,0.004950 ,0.027651 ,0.016957 ,0.005758 ,0.009329 ,0.015243 ,0.019493 ,0.010354 ,0.000984 
0.026397 ,0.003842 ,0.014752 ,0.010653 ,0.009845 ,0.006686 ,0.015789 ,0.012342 ,0.009954 ,0.000746 
0.029608 ,0.009938 ,0.013451 ,0.016021 ,0.011388 ,0.014445 ,0.020574 ,0.014800 ,0.007681 ,0.000603 
0.038135 ,0.010655 ,0.016239 ,0.024989 ,0.005491 ,0.005865 ,0.017779 ,0.013744 ,0.008151 ,0.000799 
0.016575 ,0.004935 ,0.015973 ,0.016789 ,0.005001 ,0.007474 ,0.017343 ,0.018477 ,0.005258 ,0.000768 
0.029223 ,0.004593 ,0.017530 ,0.033135 ,0.003447 ,0.008377 ,0.018391 ,0.019875 ,0.010044 ,0.001035 
0.026744 ,0.006334 ,0.023151 ,0.023794 ,0.004522 ,0.009655 ,0.020167 ,0.020512 ,0.007175 ,0.000421 
0.025649 ,0.005053 ,0.023561 ,0.018749 ,0.008570 ,0.009143 ,0.011175 ,0.014577 ,0.004231 ,0.001312 
0.028208 ,0.009311 ,0.021491 ,0.010235 ,0.004230 ,0.007280 ,0.016773 ,0.012026 ,0.004663 ,0.000612 
0.037153 ,0.008985 ,0.027514 ,0.018014 ,0.007046 ,0.004864 ,0.014695 ,0.017084 ,0.005768 ,0.000980 
0.024490 ,0.007071 ,0.025413 ,0.020135 ,0.005829 ,0.010876 ,0.020719 ,0.021020 ,0.007513 ,0.000368 
0.021606 ,0.002108 ,0.021790 ,0.018751 ,0.003986 ,0.017020 ,0.015451 ,0.014998 ,0.007848 ,0.000927 
