Age,MeanDNE.Apex,MedianDNE.Apex,IQRDNE.Apex,TotalDNE.TotalPolygonFaces,MedianDNE.Whole,IQRDNE.Whole,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Proportion.DNEover0.6,Population
21,0.026252 ,0.009163 ,0.020457 ,0.020791 ,0.006122 ,0.017974 ,0.017413 ,0.016963 ,0.006085 ,0.000756 ,European
21,0.029771 ,0.008861 ,0.021202 ,0.036184 ,0.008733 ,0.017141 ,0.025755 ,0.030631 ,0.004442 ,0.000645 ,European
71,0.037500 ,0.013924 ,0.033377 ,0.025182 ,0.009500 ,0.019930 ,0.025741 ,0.030596 ,0.004677 ,0.001932 ,European
71,0.036605 ,0.013991 ,0.024387 ,0.022533 ,0.009602 ,0.022523 ,0.021645 ,0.024247 ,0.005563 ,0.001733 ,European
72,0.039641 ,0.014909 ,0.032199 ,0.028801 ,0.009062 ,0.026049 ,0.021148 ,0.023198 ,0.004647 ,0.001919 ,European
72,0.033187 ,0.014552 ,0.025132 ,0.029517 ,0.009682 ,0.023895 ,0.021916 ,0.025375 ,0.004631 ,0.001730 ,European
78,0.039875 ,0.014727 ,0.034967 ,0.024517 ,0.010760 ,0.022860 ,0.025599 ,0.030508 ,0.004653 ,0.001845 ,European
78,0.036556 ,0.016829 ,0.028333 ,0.026235 ,0.009255 ,0.024183 ,0.024915 ,0.029874 ,0.004029 ,0.002030 ,European
87,0.038596 ,0.013384 ,0.031930 ,0.025195 ,0.010630 ,0.022707 ,0.024974 ,0.030079 ,0.004620 ,0.002063 ,European
72,0.030157 ,0.011620 ,0.026965 ,0.028578 ,0.009672 ,0.024314 ,0.021924 ,0.025436 ,0.004405 ,0.001728 ,European
72,0.038653 ,0.014900 ,0.023911 ,0.027106 ,0.009656 ,0.023957 ,0.021055 ,0.023187 ,0.004416 ,0.001713 ,European
71,0.043363 ,0.015210 ,0.032644 ,0.026717 ,0.009153 ,0.020633 ,0.024014 ,0.028372 ,0.004327 ,0.002097 ,European
